Contrast	Peak coordinate X	Peak coordinate Y	Peak coordinate Z
Verbatim > MixedGist (Ado)	-2.0	-100.0	4.0
Verbatim > MixedGist (Ado)	10.0	-96.0	2.0
Verbatim > MixedGist (Ado)			
Gist > VerbatimMixed (Ado)	-10.0	-106.0	-6.0
Gist > VerbatimMixed (Ado)			
Gist > VerbatimMixed (Ado)	10.0	-102.0	4.0
Gist > VerbatimMixed (Ado)	26.0	-66.0	44.0
Gist > VerbatimMixed (Ado)	-26.0	-102.0	6.0
Gist > VerbatimMixed (Ado)	12.0	-100.0	20.0
Gist > VerbatimMixed (Ado)			
"GistGain_V_VGain
  
 (Adu)"	-26.0	-102.0	6.0
"GistGain_V_VGain
  
 (Adu)"	-2.0	-94.0	20.0
"GistGain_V_VGain
  
 (Adu)"	12.0	-88.0	30.0
"GistGain_V_VGain
  
 (Adu)"			
GLargeGain>VLargeGain (Adu)	14.0	-90.0	34.0
GLargeGain>VLargeGain (Adu)			
VLargeGain>GLargeGain (adu)	14.0	-90.0	34.0
VSmallRisk>MSmallRIsk (ado)	-14.0	-104.0	14.0
VSmallRisk>MSmallRIsk (ado)	12.0	-104.0	4.0
VSmallRisk>MSmallRIsk (ado)	-50.0	46.0	4.0
VSmallRisk>MSmallRisk (adu)	8.0	-96.0	0.0
VSmallRisk>MSmallRisk (adu)	-10.0	106.0	-2.0
